super category,category,sub category,brand,Priority,Expected Date
Electronics,Mobiles and Tablets,Mobile Accessories,Twelve south,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Ampro,1,
Home and Kitchen,Home Décor,Clocks,Al Harameen,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Victorias secret,2,
"Toys, Kids and Baby",Baby and Toddlers,Baby Outdoor and Travel,Chicco,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Prada,2,
Electronics,"TVs, Audio and Video",Speakers,X-MINI,1,
Fashion,Men's Clothing,Shorts,MR BUTTON,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Mr.Men & Little Miss,1,
Fashion,Womens accessories,Watches,IO?ION!,2,
Fashion,Mens Clothing,T-shirts & Vests,Alcis,2,
Fashion,Women Clothing,Skirts,People,2,
Electronics,Mobiles and Tablets,Mobile Accessories,iWalk,1,
Fashion,Women Clothing,Dresses,Alia Bhatt Collection,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,The New Black,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,A4Tech,1,
Home and Kitchen,Small Appliances,Sewing Machines,Home King,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Panasonic,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Jathibia World,2,
Fashion,Womens Clothing,Dresses,Gumuxi,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Verus,1,
Electronics,Small Appliances,Personal appliances,BaByliss,1,
Fashion,Mens accessories,Jewellery,Charles Delon,2,
Home and Kitchen,Home Furnishing,"Pillow, Cushion and Covers",Matelesse,3,
Electronics,Mobiles and Tablets,Mobile Accessories,SlingGrip,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,IDEA,1,
Electronics,Mobiles and Tablets,Tablet Accessories,Cygnett,1,
Home and Kitchen,Home Furnishing,Blankets and Quilts,Wysada,3,
Electronics,"Computers, Laptops and Storage",Storage Devices,Beecool,1,
Fashion,Mens Clothing,T-shirts & Vests,Ruggers,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Dolce and Gabanna,2,
Fashion,Women Clothing,Jeans,Riot Jeans,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,RivaCase,1,
Electronics,Mobiles and Tablets,Mobile Accessories,CADYCE,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Puro,1,
Home and Kitchen,Small Appliances,Gas Stoves,Elekta,3,
"Beauty, Personal Care and Fragrances",Fragrances,Women's Fragrances,Lalique,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Tommy Hilfiger,2,
Home and Kitchen,Home Furnishing,Curtains and Accessories,Beecool,3,
Home and Kitchen,Small Appliances,Fryers,Nikai,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Laut,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Hair Care,Barex,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Britney Spears,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,VAN CLEEF,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Vox,1,
Fashion,Women Clothing,Skirts,Rattrap,2,
Fashion,Mens Bag,Messenger Bags,Seventy Five,2,
Electronics,"TVs, Audio and Video",Speakers,Merlin,1,
Fashion,Unisex Accessories,Jewellery,Tatu,2,
Electronics,"TVs, Audio and Video",Speakers,Skullcandy,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,PARIS HILTON,2,
Fashion,Mens Clothing,Shirts,Kal Jacobs,2,
Electronics,Mobiles and Tablets,Tablet Accessories,Aiino,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Christian Dior,2,
"Toys, Kids and Baby",Toys and Activities,Activity Sets,Transformers,3,
Electronics,Mobiles and Tablets,Tablet Accessories,Laut,1,
Electronics,"TVs, Audio and Video",Speakers,Opal,1,
Fashion,Women Clothing,Jackets & Coats,Hhara,2,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Techlink,1,
