super category,category,sub category,brand,Priority,Expected Date
Electronics,Mobiles and Tablets,Mobile Phones,Apple,1,
Electronics,Mobiles and Tablets,Mobile Phones,Samsung,1,
Electronics,Mobiles and Tablets,Mobile Phones,Infinix,1,
Electronics,Mobiles and Tablets,Mobile Phones,SONY,1,
Electronics,Mobiles and Tablets,Mobile Phones,Blackberry,1,
Electronics,Cameras and Photography,Digital Cameras,NIKON,1,
Fashion,Mens Accessories,Watches,Casio,2,
Electronics,Mobiles and Tablets,Mobile Phones,HUAWEI,1,
Electronics,Gaming and Accessories,Gaming Consoles,SONY,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Apple,1,
Electronics,Mobiles and Tablets,Mobile Phones,HTC,1,
Electronics,Mobiles and Tablets,Tablets,Apple,1,
Electronics,"TVs, Audio and Video",Televisions,Samsung,1,
Electronics,Cameras and Photography,Digital Cameras,Canon,1,
Electronics,Mobiles and Tablets,Mobile Phones,LG,1,
Electronics,Mobiles and Tablets,Mobile Phones,Xtouch,1,
Electronics,"Computers, Laptops and Storage",Laptops,Apple,1,
Fashion,Mens Accessories,Watches,Diesel,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Samsung,1,
Electronics,Mobiles and Tablets,Mobile Phones,Lenovo,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Sony,1,
Fashion,Womens Accessories,Watches,Casio,2,
Electronics,Cameras and Photography,Digital Cameras,SONY,1,
Electronics,Mobiles and Tablets,Tablets,SAMSUNG,1,
Electronics,"TVs, Audio and Video",Televisions,Eurostar,1,
Electronics,Mobiles and Tablets,Mobile Phones,Nokia,1,
Electronics,"TVs, Audio and Video",Speakers,JBL,1,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,Smart,3,
Electronics,"Computers, Laptops and Storage",Laptops,HP,1,
Electronics,Mobiles and Tablets,Mobile Phones,ASUS,1,
Electronics,Mobiles and Tablets,Tablets,Microsoft,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Beats,1,
Electronics,Cameras and Photography,Digital Cameras,GOPRO,1,
Electronics,Mobiles and Tablets,Mobile Phones,Samsung,1,
Fashion,Unisex Accessories,Sunglasses,RAY BAN,2,
Home and Kitchen,Home Furnishing,Bed Linen,Knights bridge,3,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,I Touch,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Calvin Klein,2,
Fashion,Mens Accessories,Sunglasses,Ray Ban,2,
Electronics,Cameras and Photography,Lenses,NIKON,1,
Electronics,Mobiles and Tablets,Tablets,Xtouch,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Xtouch,1,
Fashion,Unisex Accessories,Watches,Casio,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Calvin Klein,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Hugo Boss,2,
Electronics,"TVs, Audio and Video",Televisions,Nikai,1,
Fashion,Womens Accessories,Watches,Michael Kors,2,
Electronics,"Computers, Laptops and Storage",Laptops,Dell,1,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Knewood,3,
Fashion,Mens Accessories,Watches,FITRON,2,
Electronics,Cameras and Photography,Lenses,Canon,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Huawei,1,
Electronics,Gaming and Accessories,Gaming Consoles,PS4,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Gucci,2,
Fashion,Mens Accessories,watches,Fossil,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Infinix,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Dolce and Gabbana,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Givenchy,2,
Fashion,Mens Accessories,Watches,Guess,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,JBL,1,
Electronics,"TVs, Audio and Video",Home Theatre Systems,Nikai,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Qube,1,
Electronics,"Computers, Laptops and Storage",Storage Devices,Sandisk,1,
Home and Kitchen,Home Tools,Home Improvement,BOSCH,3,
Fashion,Mens Clothing,T-shirts and Vests,THREADCURRY,2,
Electronics,Cameras and Photography,Digital Cameras,Panasonic,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Skullcandy,1,
Electronics,"TVs, Audio and Video",Portable Audio Players,Apple,1,
Fashion,Mens Clothing,T-shirts & Vests,Phosphorus,2,
Automotive,Car Audio and GPS,Car Stereos,Pioneer,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Givenchy,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Bath and Body,Victorias secret,2,
Electronics,"TVs, Audio and Video",Televisions,LG,1,
Electronics,"Computers, Laptops and Storage",Routers and Modems,Huawei,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Burberry,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Jaguar,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Mont blanc,2,
Fashion,Womens Accessories,Watches,Guess,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Jabra,1,
Home and Kitchen,Home Décor,Lamps and Lightings,Just Goot,3,
Electronics,"TVs, Audio and Video",Televisions,sharp,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Bvlgari,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,YSL,2,
Fashion,Mens Clothing,Polo Shirts,Phosphorus,2,
Home and Kitchen,Home Tools,Home Improvement,Zippo,3,
Electronics,Mobiles and Tablets,Mobile Phones,Elephone,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Bvlgari,2,
Fashion,Mens Footwear,Sneakers,Seventy Five,2,
Electronics,"TVs, Audio and Video",Televisions,Sony,1,
Electronics,Cameras and Photography,Digital Cameras,Fujifilm,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Lacoste,2,
Electronics,Cameras and Photography,Camera Accessories,Sevenoak,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Paco Rabanne,2,
Fashion,Women Clothing,Dresses,Club L,2,
Electronics,Mobiles and Tablets,Mobile Phones,CAT,1,
Electronics,Mobiles and Tablets,Mobile Phones,Panasonic,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Roberto Cavalli,2,
"Health, Nutrition and Sports",Sports,Sports Gear,Adidas,3,
Fashion,Men's Clothing,Shirts,MR BUTTON,2,
Fashion,Womens Accessories,Watches,DKNY,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Besiter,1,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,Sonashi,2,
Fashion,Womens Clothing,Dresses,Femella,2,
Fashion,Mens Clothing,T-shirts & Vests,Tiktauli De Corps.,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Dunhill,2,
Fashion,Womens Accessories,Watches,Fossil,2,
Fashion,Mens Accessories,Watches,Seiko,2,
Fashion,Mens Clothing,T-shirts and Vests,Dubai Heroes,2,
Electronics,Mobiles and Tablets,Mobile Phones,LEAGOO,1,
Electronics,"TVs, Audio and Video",Projectors,AIPTEK,1,
Fashion,Womens Accessories,Watches,ZYROS,2,
Electronics,Cameras and Photography,Lenses,Sigma,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Chanel,2,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Sony,1,
Fashion,Mens Clothing,T-shirts & Vests,Incult,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Versace,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,SONASHI,3,
Electronics,"TVs, Audio and Video",TV and AV Accessories,Google,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Creed,2,
Electronics,Cameras and Photography,Camera Accessories,CANON,1,
Fashion,Mens Accessories,Watches,JBW,2,
Fashion,Women Clothing,Tops,Femella,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Gucci,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Davidoff,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Samsung,1,
Home and Kitchen,Small Appliances,Coffee Makers,Delonghi,3,
Electronics,Mobiles and Tablets,Tablets,Ctroniq,1,
Electronics,Gaming and Accessories,Gaming Consoles,Microsoft Xbox,1,
Home and Kitchen,Home Tools,Home Improvement,Karcher,3,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Carolina Herrera,2,
Fashion,Womens Accessories,Watches,OMAX,2,
Electronics,Gaming and Accessories,Gaming Consoles,Microsoft,1,
Electronics,"TVs, Audio and Video",Portable Audio Players,shuffle,1,
Fashion,Boy's Footwear,Kids,LED,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Stylizedd,1,
Fashion,Mens Footwear,Lace ups,Seventy Five,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Astrum,1,
Fashion,Mens Accessories,Watches,Michael Kors,2,
Automotive,Car Audio and GPS,Amplifiers,Pioneer,3,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Jabra,1,
Home and Kitchen,Home Tools,Home Improvement,Black & Decker,3,
Home and Kitchen,Kitchenware,Tea and Coffee Serveware,Stylizedd,3,
Fashion,Women Clothing,Tops,People,2,
Home and Kitchen,Kitchenware,Tiffin and Flasks,EMSA / GERMANY,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Lacoste,2,
Fashion,Mens Accessories,Watches,ZYROS,2,
Automotive,Car Audio and GPS,Car Speakers,PIONEER,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Juicy Couture,2,
Home and Kitchen,Home Furnishing,Bed Linen,Majoli,3,
Fashion,Mens Accessories,Sunglasses,Oakley,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Hugo Boss,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Versace,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,ROBERTO CAVALLI,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,CHRISTIAN DIOR,2,
Fashion,Women Clothing,Tops,Jeifei Dress,2,
Electronics,Mobiles and Tablets,Tablets,Huawei,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Rearth,1,
Electronics,Cameras and Photography,Digital Cameras,FUJI,1,
Fashion,Women Clothing,Tops,Rattrap,2,
Electronics,"Computers, Laptops and Storage",Laptops,Toshiba,1,
Fashion,Mens Accessories,Watches,HYPE,2,
Home and Kitchen,Home Décor,Wall Décor,MiiHome,3,
Fashion,Women Bags,Hand Bags,MySmar,2,
Electronics,Cameras and Photography,Camera Accessories,Easycover,1,
Fashion,Mens Footwear,Sports Shoes,And1,2,
Electronics,Cameras and Photography,Camera Accessories,Phottix,1,
Electronics,Gaming and Accessories,Gaming Consoles,XBOX,1,
Fashion,Womens Accessories,Watches,Olivera,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,BENTLEY,2,
Fashion,Men's Footwear,Sneakers,LED,2,
Fashion,Mens Accessories,Watches,Armani,2,
Electronics,Mobiles and Tablets,Mobile Phones,Jackleo,1,
"Toys, Kids and Baby",Toys and Activities,Remote Control Toys,Parrot,3,
Electronics,Cameras and Photography,Camera Accessories,Yongnuo,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Target,1,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,smart balance wheel,3,
Electronics,Mobiles and Tablets,Tablets,Lenovo,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,CHRISTIAN DIOR,2,
Electronics,"Computers, Laptops and Storage",Storage Devices,Lexar,1,
Fashion,Mens Clothing,Pants & Chinos,Brave Soul,2,
Fashion,Women Bags,Hand Bags,Coach,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Anker,1,
Fashion,Mens Clothing,Jeans,5EM JEANS,2,
Electronics,Mobiles and Tablets,Mobile Phones,Alcatel,1,
Fashion,Mens accessories,Sunglasses,Porsche Design,2,
Fashion,Women Clothing,Dresses,Lara Karen,2,
Electronics,Mobiles and Tablets,Mobile Phones,Ecco,1,
Fashion,Womens Accessories,Watches,MEMA,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Sandisk,1,
Automotive,Car Audio and GPS,Car Stereos,Sony,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Ruby Rose,2,
Fashion,Mens Clothing,Jeans,MR MAC,2,
Electronics,Mobiles and Tablets,Mobile Accessories,MiLi,1,
Fashion,Womens Accessories,Sunglasses,RAY BAN,2,
Electronics,Gaming and Accessories,Gaming Accessories,Razer,1,
Fashion,Women Clothing,Tops,Stoee,2,
Fashion,Women's Clothing,Dresses,Xniva,2,
Fashion,Womens Accessories,Jewellery,Michael Kors,2,
Home and Kitchen,Home Furnishing,Bed Linen,BrightLinen,3,
Fashion,Women Clothing,Tops,Mysterious Miss,2,
Fashion,Mens Accessories,Watches,Olivera,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Datazone,1,
Fashion,Women's Clothing,Dresses,Basicxx,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Fitbit,1,
Fashion,Men's Clothing,Jackets and Coats,MR BUTTON,2,
Electronics,"Computers, Laptops and Storage",Desktops and Monitors,TwinMOS,1,
Electronics,Mobiles and Tablets,Mobile Phones,Oneplus,1,
Electronics,Gaming and Accessories,Gaming Titles,Sony Computer Entertainment Euro,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,aramis,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Elephone,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Apple,1,
Fashion,Men's accessories,Watches,Tommy Hilfiger,2,
Electronics,Mobiles and Tablets,Mobile Phones,Eurostar,1,
Electronics,Mobiles and Tablets,Mobile Accessories,IDEA,1,
Electronics,Mobiles and Tablets,Mobile Accessories,LG,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Astrum,1,
Fashion,Women Clothing,Dresses,Jana Imaan,2,
Fashion,Womens Accessories,Jewellery,CWEEL Jewelry,2,
Home and Kitchen,Kitchenware,Cookware and Bakeware,philips,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Lady Gaga,2,
Fashion,Mens Clothing,Shirts,Phosphorus,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Ferrari,1,
Electronics,Gaming and Accessories,Gaming Titles,Electronic Arts,1,
Fashion,Women Clothing,Tops,Miss Bennett London,2,
Fashion,Men's accessories,Jewellery,Seventy Five,2,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,Babyliss,2,
Electronics,Cameras and Photography,Camera Accessories,VANGUARD,1,
Electronics,Gaming and Accessories,Gaming Titles,PS3,1,
Electronics,Small Appliances,Personal appliances,Braun,1,
Fashion,Men's Accessories,Watches,GC,2,
Electronics,"TVs, Audio and Video",Televisions,CHANGHONG,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,S.T. Dupont,2,
Fashion,Women Clothing,Dresses,Eternal,2,
Fashion,Women Clothing,Tops,Fort Collins,2,
Fashion,Womens Clothing,Dresses,Loumeidish,2,
Fashion,Mens Clothing,Jeans,Route 66,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Seyver,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Giorgio Armani,2,
Fashion,Men's accessories,Watches,Invicta,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Ferrari,2,
Home and Kitchen,Small Appliances,Ovens and OTGs,Nikai,3,
Fashion,Mens Accessories,Watches,MEMA,2,
Electronics,Cameras and Photography,Digital Cameras,Xiaomi,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Black Opium,2,
Electronics,Cameras and Photography,Digital Cameras,Trevi,1,
Fashion,Mens Footwear,Sandals,Comfort Plus,2,
Home and Kitchen,Small Appliances,Vacuum Cleaners,Nikai,3,
Home and Kitchen,Small Appliances,Fan,Sonashi,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Xiaomi,1,
Electronics,Gaming and Accessories,Gaming Titles,PS4,1,
Home and Kitchen,Small Appliances,Coffee Makers,Elekta,3,
Fashion,Womens Accessories,Jewellery,Paradiso,2,
"Toys, Kids and Baby",Toys and Activities,Ride On and Scooters,F-Speed,3,
Electronics,Mobiles and Tablets,Mobile Accessories,OZONE,1,
Electronics,Mobiles and Tablets,Mobile Phones,Microsoft,1,
Home and Kitchen,Small Appliances,Choppers and Blenders,Braun,3,
Fashion,Womens Clothing,Dresses,Jopcorn,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Cogito,1,
Fashion,Mens Accessories,Watches,Emporio Armani,2,
Fashion,Men's Clothing,Hoodies and Sweatshirts,Dubai Hero,2,
Electronics,"TVs, Audio and Video",TV and AV Accessories,Apple,1,
Electronics,Cameras and Photography,Digital Cameras,SJCAM,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Estee Lauder,2,
Fashion,Mens Clothing,T-shirts and Vests,Bhane,2,
Automotive,Car Audio and GPS,Subwoofers,Pioneer,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Native Union,1,
Fashion,Unisex Accessories,Jewellery,Beecool,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Burberry,2,
Electronics,Cameras and Photography,Digital Cameras,Goextreme,1,
Automotive,Car Accessories,Car Care Products,AVH,3,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,Elekta,2,
Fashion,Women Clothing,Jeans,Upperclass,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Ralph Lauren,2,
Electronics,Mobiles and Tablets,Mobile Accessories,PhoneSuit,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Apple,1,
Electronics,"TVs, Audio and Video",Televisions,Toshiba,1,
Electronics,Mobiles and Tablets,Mobile Phones,MOTOROLA,1,
Electronics,"Computers, Laptops and Storage",Storage Devices,MiLi,1,
Fashion,Mens Clothing,Hoodies & Sweatshirts,Seventy Five,2,
Fashion,Womens Accessories,Watches,Esprit,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Garmin,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Paco Rabanne,2,
Fashion,Women Clothing,Tops,Lara Karen,2,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Braun,3,
Fashion,Mens Accessories,Jewellery,Il Signor,2,
Electronics,Gaming and Accessories,Gaming Titles,Microsoft,1,
Electronics,"Computers, Laptops and Storage",Routers and Modems,TP-Link,1,
Fashion,Mens Footwear,Slip ons,Seventy Five,2,
Electronics,"TVs, Audio and Video",Speakers,Renon,1,
Electronics,Gaming and Accessories,Gaming Titles,2K,1,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",Nikai,3,
Electronics,"TVs, Audio and Video",Headphones and Earphones,LG,1,
Electronics,Mobiles and Tablets,Mobile Phones,Google,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Itech,1,
Fashion,Women Bags,Women Bags,Calvin Klein,2,
Electronics,Gaming and Accessories,Gaming Consoles,Playstation,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Plantronics,1,
Fashion,Men's accessories,Sunglasses,Seventy Five,2,
Fashion,Women Bags,Handbags,Calvin Klein,2,
Home and Kitchen,Small Appliances,"Juicer, Mixers and Grinders",SONASHI,3,
Electronics,"TVs, Audio and Video",Televisions,TCL,1,
Home and Kitchen,Small Appliances,Toasters and Grills,Nikai,3,
Fashion,Women Clothing,Tops,Espresso,2,
Electronics,"Computers, Laptops and Storage",Laptops,Lenovo,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Elizabeth Arden,2,
Electronics,Mobiles and Tablets,Tablets,Asus,1,
Fashion,Unisex Accessories,Sunglasses,UV,2,
Fashion,Womens Clothing,Dresses,Y.Z.K,2,
Automotive,Car Audio and GPS,Car Speakers,Kenwood,3,
Home and Kitchen,Small Appliances,Iron,Sonashi,3,
Fashion,Mens Clothing,T-shirts & Vests,Tagd New York,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Davidoff,2,
Fashion,Women Bags,Women Bags,Michael Michael Kors,2,
Fashion,Mens Footwear,Sports Shoes,Saucony,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Belkin,1,
Fashion,Womens Clothing,Dresses,Miss Bennett London,2,
Fashion,Mens Accessories,Watches,VETOR,2,
Fashion,Womens Accessories,Watches,Calvin Klein,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,Knewood,3,
Fashion,Womens Accessories,Jewellery,Pretty Little Things,2,
"Health, Nutrition and Sports",Health,Health Devices,iHealth,3,
Electronics,Mobiles and Tablets,Mobile Accessories,Momax,1,
Fashion,Women Bags,Handbags,Tommy Hilfiger,2,
Electronics,Cameras and Photography,Camera Accessories,Boya Microphone,1,
Home and Kitchen,Small Appliances,Garment Steamer,Nikai,3,
Fashion,Mens Clothing,Shirts,Bhane,2,
Electronics,Mobiles and Tablets,Mobile Phones,Four,1,
Automotive,Car Accessories,Interior Accessories,LUXA2,3,
Fashion,Women Clothing,Jackets and Coats,Femella,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Guess,2,
Electronics,"Computers, Laptops and Storage",Routers and Modems,D-Link,1,
Fashion,Girls Clothing,Kids,Elfin Kidz,2,
Home and Kitchen,Small Appliances,Food Processors,Nikai,3,
Electronics,Gaming and Accessories,Gaming Titles,Activision,1,
Fashion,Mens Accessories,Watches,Skagen,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Spigen,1,
Fashion,Boys Clothing,Kids,Cute Edition,2,
Electronics,Gaming and Accessories,Gaming Titles,Ubisoft,1,
Electronics,"TVs, Audio and Video",Headphones and Earphones,Sonashi,1,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Microsoft,1,
Electronics,Cameras and Photography,Digital Cameras,Canon,1,
Fashion,Women Bags,Handbags,DKNY,2,
Fashion,Women Clothing,Dresses,Femella,2,
Home and Kitchen,Kitchen Appliances,Electric Kettles,Nikai,3,
Fashion,Mens Clothing,Polo Shirts,Tiktauli De Corps.,2,
Electronics,"TVs, Audio and Video",Speakers,MICROLAB,1,
Electronics,Cameras and Photography,Camera Accessories,Ozone,1,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,Dolce and Gabbana,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,YVES SAINT LAURENT,2,
Home and Kitchen,Home Décor,Lamps and Lightings,Mipow,3,
Electronics,"Computers, Laptops and Storage",Computer Accessories,Freebie,1,
Fashion,Mens Footwear,Sneakers,Santa Monica Polo Club,2,
"Beauty, Personal Care and Fragrances",Fragrances,Mens Fragrances,DOLCE GABBANA,2,
Electronics,Cameras and Photography,Digital Cameras,Samsung,1,
Fashion,Women Clothing,Lingerie and Nightwear,Hidden Beauty Lingerie,2,
Fashion,Womens Footwear,Boots,Jentovor,2,
Home and Kitchen,Small Appliances,Gas Stoves,Nikai,3,
Electronics,Cameras and Photography,Camera Accessories,Nikon,1,
Fashion,Mens Accessories,Watches,HELOISA,2,
Fashion,Mens Clothing,Hoodies and Sweatshirts,Dubai Heroes,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Kaiser Baas,1,
Electronics,Mobiles and Tablets,Mobile Phones,One Plus One,1,
Fashion,Women Clothing,Dresses,MB,2,
Home and Kitchen,Small Appliances,Lights and Torches,Sonashi,3,
Fashion,Womens Clothing,Dresses,Fashion Classic,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Cygnett,1,
Electronics,Cameras and Photography,CCTV Cameras,Petcube,1,
Fashion,Women Clothing,Lingerie & Nightwear,Brassi Belweiss,2,
Fashion,Mens Clothing,Jeans,ZESS,2,
Fashion,Mens Bags,Bags,Highflyer,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Logitech,1,
Home and Kitchen,Small Appliances,Microwaves,Eurostar,3,
Fashion,Womens Accessories,Watches,Juicy Couture,2,
Fashion,Mens Accessories,watches,Armani Exchange,2,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Make Up Forever,2,
Fashion,Men's accessories,Watches,Q&Q,2,
Home and Kitchen,Small Appliances,Toasters and Grills,Knewood,3,
Electronics,Mobiles and Tablets,Mobile Accessories,WiThings,1,
Fashion,Women Clothing,Arabian Clothing,Capricieuse,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Smart iFit,1,
Electronics,Mobiles and Tablets,Mobile Accessories,Smart,1,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Make Up,Revlon,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,Nikai,3,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,J. Lo,2,
Electronics,Cameras and Photography,Camera Accessories,Slik,1,
Electronics,"TVs, Audio and Video",Speakers,BEATS,1,
Electronics,"Computers, Laptops and Storage",Storage Devices,Toshiba,1,
Electronics,Cameras and Photography,Camera Accessories,Monopod,1,
Electronics,Cameras and Photography,Lenses,Nikkor,1,
Electronics,Mobiles and Tablets,Mobile Accessories,HTC,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,DKNY,2,
"Health, Nutrition and Sports",Health,Health Devices,Xiaomi,3,
"Beauty, Personal Care and Fragrances",Cosmetics and Personal Care,Skin Care,Victorias Secret,2,
Home and Kitchen,Home Furnishing,Bed Linen,BusDeal,3,
Fashion,Womens Accessories,Watches,FITRON,2,
Fashion,Womens accessories,Jewellery,Majique London,2,
Electronics,"TVs, Audio and Video",Speakers,Vivitar,1,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Dolce & Gabbana,2,
Home and Kitchen,Small Appliances,Choppers and Blenders,Elekta,3,
"Beauty, Personal Care and Fragrances",Small Appliances,Personal Appliances,Hitachi,2,
Fashion,Women Clothing,Dresses,Sangria,2,
Home and Kitchen,Small Appliances,Water Dispenser,Eurostar,3,
Automotive,Car Accessories,Interior Accessories,Sparco,3,
Fashion,Women Clothing,Dresses,Shibori Designs,2,
Fashion,Mens Accessories,Watches,ELLETIER,2,
Electronics,Gaming and Accessories,Gaming Titles,EA sports,1,
Home and Kitchen,Small Appliances,Fryers,Elekta,3,
Electronics,Gaming and Accessories,Gaming Titles,Bandai Namco,1,
Electronics,Gaming and Accessories,Gaming Accessories,Sony,1,
Fashion,Mens Accessories,Sunglasses,Arnette,2,
Fashion,Womens Accessories,Jewellery,ROXI,2,
Electronics,"TVs, Audio and Video",Speakers,Modecom,1,
Fashion,Women Bags,Hand Bags,TOURISTOR,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Toshiba,1,
Electronics,Mobiles and Tablets,Mobile Accessories,VR One,1,
Fashion,Men's accessories,Sunglasses,Jeepers Peepers,2,
"Beauty, Personal Care and Fragrances",Fragrances,Womens Fragrances,Chanel,2,
Fashion,Girls Clothing,Infant,Baby and Gril,2,
Electronics,Cameras and Photography,Camera Accessories,GO PRO,1,
Fashion,Mens Clothing,T-shirts and Vests,Kal Jacobs,2,
Home and Kitchen,Small Appliances,Microwaves,Knewood,3,
Fashion,Womens Clothing,Dresses,Desert Chic,2,
Fashion,Women Clothing,Dresses,Anaya,2,
Automotive,Car Audio and GPS,Car Stereos,JVC,3,
Fashion,Women Footwear,Sandals,Qupid,2,
"Beauty, Personal Care and Fragrances",Personal Appliances,Hair Dryers,Elekta,2,
Home and Kitchen,Household Supplies,Others,Beecool,3,
Fashion,Mens Bags,Bags,Targus,2,
Electronics,Mobiles and Tablets,Mobile Accessories,Aukey,1,
